Cluster,Instruction,ACTION,QUANTITY,UNIT,INGREDIENT,TOOL,TEMPERATURE,STATE,GARNISH
3,"Flame the rum for just a few seconds, then put it out",flame | put it out,,seconds,rum,,,,
2,"Combine 2 oz citrus vodka, .5 oz tropical-fruit liqueur , .5 oz coconut rum, and 1 oz apple juice in a shaker filled with ice",combine,2 | .5 | 1,oz,tropical-fruit liqueur | citrus vodka | coconut rum | apple juice | ice,shaker,,,
1,Garnish each with freshly grated nutmeg,,,,,,,grated,nutmeg
2,Serve immediately and enjoy your CanyCaine Cocktail!,serve,,,,,,,
1,Strain into a Collins glass over a clear ice spear,strain,,,ice,collins glass,,,
3,Place ice cubes in glass and add lime juice and rum,add | place,,cubes,lime juice | rum | ice,glass,,,
0,Add 2 tsp. of kosher salt and whisk until fully dissolved,add | whisk,2,tsp,kosher salt,whisk,,dissolved,
2,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice",shake,,,orange juice | rum | amaretto | ice,shaker,,,
3,"Next combine ice, coconut rum and orange juice concentrate and blend once more",blend | combine,,,orange juice | coconut rum | ice,,,,
0,Shake all ingredients and fine strain into a pre-chilled martini glass,shake | strain | fine strain,,,,martini glass,chilled,,
1,Gather all ingredients.Stir brewed espresso and simple syrup together in a small pitcher,stir,,,simple syrup | espresso,pitcher,,,
4,"In a cocktail shaker filled with ice, combine 2 oz lemon vodka and 2 oz cinnamon schnapps",combine,2,oz,cinnamon schnapps | lemon vodka | ice,shaker,,,
2,Place ice into a glass and strain the drink into the glass,strain | place,,,ice,glass,,,
2,"For the best experience, use ice-cold milk and/or add several ice cubes to keep the drink chilled",add,,cubes,milk | ice,,cold | chilled,,
1,"Top with ice to fill, and garnish with freshly-grated cinnamon and a fat sprig of mint slapped between your hands and then tucked into the side of the glass",top | fill,,,cinnamon | ice,glass,,grated,sprig of mint
3,Shake it up and strain it into a chilled cocktail glass,shake | strain,,,,cocktail glass,chilled,,
0,"In a blender, combine the pineapple juice, cilantro and mint leaves, and pepper slices",combine,,slices,pineapple juice | mint leaves | cilantro | pepper,blender,,,
5,Strain into a salt-and-sugar rimmed double old fashioned glass filled with ice,strain,,,sugar | salt | ice,double old fashioned glass,,,
3,Add Lemonade and stir to combine,add | stir | combine,,,lemonade,,,,
4,"Squeeze the wedge of lemon over the drink, and toss it in for garnish",squeeze,,,lemon,,,,
5,Strain into a double rocks glass over 1.25-inch ice cubes,strain,1.25,cubes,ice,rocks glass,,,
1,Fill glass half full with ice,fill,,,ice,glass,,,
2,Serve immediately and enjoy the festive blend of flavors,blend | serve,,,,,,,
5,"In a cocktail shaker, combine 45 ml of bourbon, 15 ml of apricot liqueur, 15 ml of freshly squeezed lemon juice, 4-5 mint leaves, and egg white or its vegan substitute",combine,45 | 15 | 4 | 5,ml,apricot liqueur | lemon juice | mint leaves | egg white | bourbon,shaker,,,
2,Serve immediately and enjoy your Campari Cocktail!,serve,,,campari,,,,
5,"Rinse a rocks glass with absinthe, then discard remaining spirit",rinse,,,absinthe,rocks glass,,,
1,Add all ingredients into a Boston Shaker and fill with ice,add | fill,,,ice,boston shaker,,,
4,Fill the glass three-quarters full with crushed ice,fill,,,ice,glass,,crushed,
3,"Top with the hot coffee and add a dollop of whipped cream or a thin layer of heavy cream on top, if you’d like",add | top | layer,,,coffee,,hot,whipped,whipped cream
5,Pour a little energy drink into rocks glass and gently drop jagermeister filled ice sphere inside,pour | drop,,drop,jagermeister | ice,rocks glass,,,
0,"In a large goblet filled with ice, pour 1.5 oz orange vodka, 1.5 oz orange liqueur, 3 oz orange juice, and 3 oz cranberry juice",pour,1.5 | 3,oz,cranberry juice | orange liqueur | orange juice | vodka | orange | ice,goblet,,,
1,Spray some non-stick spray on the surface of a cupcake pan,spray,,,,cupcake pan,,,
2,"Pour 1 oz vodka, 1 oz cinnamon schnapps, and 1 oz lemonade into a glass",pour,1,oz,cinnamon schnapps | vodka | lemonade,glass,,,
2,Shake vigorously to blend all the flavors together,shake | blend,,,,,,,
4,Portion out 4-ounces of eggnog into a champagne flute or teacup,portion,4,ounces | portion,champagne,champagne flute,,,
1,"Combine white wine, peach vodka, lemonade concentrate, and sugar in a large pitcher; stir until sugar is dissolved",stir | combine,,,peach vodka | white wine | lemonade | sugar,pitcher,,dissolved,
2,Layer each mixture into a serving glass,layer,,serving,,glass,,,
0,"In a bar blender, combine 3 oz of white rum, 3 tbsp of coconut milk, and 3 tbsp of pineapple with about 2 cups of ice",combine,3 | 2,oz | cups | tbsp,coconut milk | white rum | pineapple | ice,blender,,,
1,"In a separate 3 oz tall shot glass, combine the licorice liqueur and blackcurrant liqueur to make a Double Pernod and Black",combine | separate,3,oz | shot,blackcurrant liqueur | licorice liqueur | pernod,shot glass,hot,,
3,Garnish with a Lemon Wedge and Maraschino Cherry,,,,,,,,maraschino cherry | lemon wedge
2,Shake the mixture until the tin is icy to the touch,shake,,,,,,,
0,"Bring water, the 3/4 cup mint, and sugar to a boil in a saucepan",boil,3/4,cup,sugar | water,cup | saucepan,,,
4,But I did have fun,,,,,,,,
0,Keeps refrigerated for up to 1 week,,1,,,,,refrigerated,
5,Repeat for the yellow candy melts,,,,,,,,candy
0,Add the Scotch whisky and port to a highball glass,add,,,whisky | scotch | port,highball glass,,,
2,Stir the mixture with a fork to combine the flavors,stir | combine,,,,fork,,,
1,"Infuse for at least two weeks, shaking periodically",infuse,,,,,,,
1,Fill a beer mug 3/4 of the way with the blended mixture,fill,3/4,,beer,mug,,,
1,Then slice them in half and and use your fingers to pull out the pits,,,slice,,,,,
1,Add gummy bears to the base of the pitcher,add,,,,pitcher,,,gummy
4,"In a large pitcher or punch bowl, combine 1 oz of Blue Curacao liqueur with 0.5 gallon of orange juice",combine,1 | 0.5,oz | gallon,curacao liqueur | orange juice,punch bowl | pitcher,,,
2,"Add 1.5 oz gold tequila, 0.5 oz brandy, 1 tsp blue curacao liqueur , 3 oz grapefruit juice, 2 oz mango juice, 1 oz passion fruit juice, and 1 tsp orgeat syrup to a cocktail shaker filled with ice",add,1.5 | 0.5 | 1 | 3 | 2,oz | tsp,passion fruit juice | grapefruit juice | curacao liqueur | gold tequila | orgeat syrup | mango juice | brandy | ice,shaker,,,
4,"Serve the Fog Cutter immediately and enjoy its complex, tropical flavors",serve,,,,,,,
1,"Place the jalapeño slices, tequila, pineapple juice, Cointreau and lime juice in a cocktail shaker and fill it with ice",place | fill,,slices,pineapple juice | lime juice | tequila | cointreau | jalapeño | ice,shaker,,,
4,Strain into a tall glass over fresh ice,strain,,,ice,glass,,,
1,Squeeze the lime wedge into the glass and decorate with the slice,squeeze,,slice,,glass,,,lime wedge
5,Half-fill the glass with sour apple schnapps,fill,,,apple,glass,,,
1,"Combine vodka, lemon lime soda and pink lemonade concentrate in a container",combine,,,vodka | lemonade | lemon | lime,container,,,
1,"In a blender or stand mixer on low speed, beat eggs until smooth",beat,,,eggs,stand mixer | blender,,,
0,Add all ingredients into a shot glass,add,,shot,,shot glass,hot,,
4,Add lime slices and lime mixer to base of gallon container,add,,slices | gallon,lime,container | mixer,,,
3,"Slowly pour 6 oz of soda water into the glass, stirring gently to combine and create a frothy top",pour | combine | top | slowly pour,6,oz,soda water,glass,,,
0,Pepper into a pint glass,,,pint,pepper,glass,,,
0,Drop fruits into base of container,drop,,drop,,container,,,
4,"Flame the orange peel, then place in the glass",place | flame,,,,glass,,,orange peel
1,"Add gin, blood orange juice, and ice and stir",add | stir,,,blood orange juice | gin | ice,,,,
5,"In a cocktail shaker half-filled with ice cubes, combine 1.5 oz tequila, 1 tsp blue curacao liqueur , 1 tsp maraschino liqueur, .5 oz lemon juice, and .5 tsp superfine sugar",combine,1.5 | 1 | .5,oz | tsp | cubes,maraschino liqueur | curacao liqueur | lemon juice | tequila | sugar | ice,shaker,,,
3,Shake and strain into a chilled large cocktail glass,shake | strain,,,,cocktail glass,chilled,,
1,"In an ice filled glass combine vodka, frangelico, milk, nutella and chocolate sauce",combine,,,vodka | frangelico | chocolate | milk | ice,glass,,,
2,Strain into a wine glass filled with ice,strain,,,wine | ice,wine glass,,,
0,Blend thoroughly and pour mix into the decorated glass,pour | blend | mix,,,,glass,,,
1,Garnish with a slice of apple or a lemon twist for an extra touch of flair,,,slice,apple,,,,lemon twist
1,"Pour about a shot of tequila, triple sec, peach schnapps, and light rum",pour | light,,shot,peach schnapps | light rum | tequila | triple | sec,,hot,,
1,Garnish with 3 fresh basil leaves,,3,,,,,,basil
4,Add 1 part lemon rum to the glass,add,1,part,rum | lemon,glass,,,
0,Serve with a sparkling wine sidecar,serve,,,sparkling wine,,,,
3,"In a cocktail glass filled with crushed ice, pour 1.5 oz tropical-fruit liqueur , 1 oz vanilla vodka, and 1 oz orange liqueur",pour,1.5 | 1,oz,tropical-fruit liqueur | orange liqueur | vanilla vodka | ice,cocktail glass,,crushed,
5,Fill the glass to the rim with club soda and stir gently,stir | rim | fill,,,club soda,glass,,,
1,Shake all the ingredients with ice to chill,shake,,,ice,,,,
5,"Finally, layer 1/2 oz of Irish cream on top of the green creme de menthe, again using the back of a spoon to ensure it sits on top without mixing",top | layer,1/2,oz,creme de menthe | irish cream,spoon,,,
0,Garnish with a cherry for a touch of color and extra sweetness,,,,,,,,cherry
2,Pour into chilled cocktail glass and garnish with 2 or 3 cocktail onions,pour,2 | 3,,,cocktail glass,chilled,,
1,"Optionally, add a splash of club soda",add | splash,,splash,club soda,,,,
3,Fill the remainder of the glass with equal parts pineapple juice and lemonade,fill,,parts,pineapple juice | lemonade,glass,,,
1,"In a mixing tin, stir cantaloupe juice and yogurt",stir,,,cantaloupe | yogurt,,,,
1,"When ready to serve, pour into a mug over a large rock",pour | serve,,,,mug,,,
1,"Fill with tonic water, then add one dash of grenadine",add | fill,,dash,tonic water | grenadine,,,,
5,Fill a highball glass with 240 ml of apple soda or sparkling apple cider,fill,240,ml,apple | cider,highball glass,,,
4,Top up with ginger ale,top,,,ginger ale,,,,
4,Garnish with lime twist and mint sprig,,,,,,,,mint sprig | lime twist
4,Strain the mixture into a v-shaped cocktail glass,strain,,,,cocktail glass,,,
5,Serve immediately and enjoy this exotic martini!,serve,,,,,,,
0,"Serve the Dutch Apple Pie cocktail right away and enjoy its warm, comforting flavors",serve,,,apple,,warm,,
1,Place the shells on a cupcake mold,place,,,,,,,
1,Serve immediately and enjoy your MOI? Cocktail,serve,,,,,,,
5,Pour cocktail into the cups and garnish with watermelon chunks,pour,,cups | chunks,watermelon,,,,
4,"Blow out the flame, drop the shot glass into the beer, and drink in one gulp",drop | flame,,drop | shot,beer,shot glass,hot,,
4,Build the ingredients in a tin and fill with ice,fill | build,,,ice,,,,
3,"Gather the ingredients.Tie cloves, cardamom pods, allspice berries, and star anise together in a cheesecloth sachet.Combine apple cider, cranberry juice, and brown sugar together in a pot; bring to a simmer",combine | simmer,,cloves,cranberry juice | apple | cardamom | sugar | cloves | allspice | cider,pot,,,star anise
0,Combine all the ingredients in the glass and add ice,add | combine,,,ice,glass,,,
2,"Serve immediately and enjoy the creamy, rich flavors of the Brown and Beige!",serve,,,,,,,
2,Top with 6 – 8 oz Schweppes club soda,top,6 | 8,oz,club soda,,,,
4,Combine all the ingredients in a rocks glass over ice Stir to integrate,stir | combine,,,ice,rocks glass,,,
3,Garnish with a twist of lemon or grapefruit,,,,lemon | grapefruit,,,,
1,Top the cocktail with two splashes of whipped cream,top,,splashes,,,,whipped,whipped cream
1,"In a blender, combine the sliced peaches, 6 oz lemonade, and 6 oz vodka",combine,6,oz,vodka | lemonade,blender,,iced,
4,"In a separate blender, combine ice, rum, pineapple juice, simple syrup and cream of coconut",combine | separate,,,pineapple juice | simple syrup | rum | coconut | cream | ice,blender,,,
5,Pour the mixture into a pre-chilled beer glass,pour,,,beer,glass,chilled,,
1,Strain into an old fashioned glass,strain,,,,old fashioned glass,,,
2,Top with lime zest,top,,,,,,,lime zest
3,Garnish with a manicured twist of lemon,,,,lemon,,,,
1,"Combine all ingredients in a large jar, seal and shake for 30 seconds",shake | combine,30,seconds,,jar,,,
0,Garnish with 2 lemon slices and blackberry,,2,slices,lemon,,,,blackberry
5,"Garnish with cherries, pineapple and straws",,,,pineapple,,,,cherries
1,Shake until chilled and strain into a highball glass filled with cubed ice,shake | strain,,,ice,highball glass,chilled,,
4,Strain the mixture into a Champagne flute,strain,,,champagne,champagne flute,,,
0,"Serve immediately and enjoy the creamy, minty flavors of the Green Eggs Cocktail",serve,,,eggs,,,,
1,Garnish with a pineapple slice and a cherry,,,slice,pineapple,,,,cherry
1,Pour the mixture into a mold,pour,,,,,,,
3,Pour out remaining Absinthe,pour,,,absinthe,,,,
1,"Strain into the Ice-filled, Salt-rimmed Highball Glass",strain,,,salt | ice,highball glass,,,
4,"In a large glass or cocktail shaker, pour 4 oz of red wine, 6 oz of champagne, and 2 oz of vodka",pour,4 | 6 | 2,oz,red wine | vodka | champagne,glass | shaker,,,
